Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos,Mayor desplazamiento promedio,Desviación Típica Mayor desplazamiento promedio,Máximo desplazamiento,Máximo desplazamiento porcentual
1,66,3,100,0,27.2727272727,21.82076431,16.6666666667,13.3349115228,56.0606060606,44.8537933038,25.7575757576,20.6084996261,25.7575757576,(39.02662993572085%)
1,67,3,100,0,58.2089552239,46.9349477273,16.4179104478,13.2380621795,25.3731343284,20.4588233683,44.776119403,36.1038059441,44.776119403,(66.83002895967923%)
1,68,3,100,0,51.4705882353,41.8195618169,11.7647058824,9.5587569867,36.7647058824,29.8711155835,44.1176470588,35.8453387002,44.1176470588,(64.87889273356402%)
1,69,3,100,0,39.1304347826,32.0331052559,7.2463768116,5.9320565289,53.6231884058,43.8972183136,26.0869565217,21.3554035039,26.0869565217,(37.80718336483932%)
1,70,3,100,0,55.7142857143,45.9480026817,14.2857142857,11.7815391492,30,24.7412322132,30,24.7412322132,30,(42.857142857142854%)
1,71,3,100,0,74.6478873239,62.0135204493,12.676056338,10.5305978121,12.676056338,10.5305978121,28.1690140845,23.4013284714,28.1690140845,(39.67466772465781%)
1,72,3,100,0,48.6111111111,40.6750081308,13.8888888889,11.6214308945,37.5,31.3778634152,38.8888888889,32.5400065046,38.8888888889,(54.01234567901235%)
1,73,3,100,0,71.2328767123,60.0276787811,8.2191780822,6.9262706286,20.5479452055,17.3156765715,24.6575342466,20.7788118858,24.6575342466,(33.777444173390876%)
1,74,3,100,0,59.4594594595,50.457758871,13.5135135135,11.4676724707,27.027027027,22.9353449413,24.3243243243,20.6418104472,24.3243243243,(32.87070854638422%)
1,75,3,100,0,41.3333333333,35.3184404672,4,3.4179135936,54.6666666667,46.7114857792,20,17.089567968,20,(26.666666666666668%)
