Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos
30,2,2,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,2,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,2,100.0,0.0,93.33333333333333,14.406788523316203,3.3333333333333335,1.7716909687891085,3.3333333333333335,1.7716909687891085
30,5,2,100.0,0.0,94.0,17.174166646448967,2.666666666666667,1.5933193862708972,3.3333333333333335,2.1134489978863145
30,6,2,100.0,0.0,89.44444444444444,18.90017364433481,5.0,2.6007477557212053,5.555555555555555,3.0715071835502563
30,7,2,100.0,0.0,87.14285714285714,20.503643990998796,5.714285714285714,2.9862008521933725,7.142857142857142,3.451031873404482
30,8,2,100.0,0.0,82.91666666666667,21.268297881863194,7.5,3.257603285648309,9.583333333333334,4.323732352763447
30,9,2,100.0,0.0,88.14814814814815,24.034890555812265,5.555555555555555,3.1871225804690226,6.296296296296296,3.16100015234346
30,10,2,100.0,0.0,81.66666666666667,23.950237762679706,7.666666666666666,3.2480592495964236,10.666666666666668,4.813684197738315
30,2,3,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,3,100.0,0.0,93.33333333333333,11.320253890622247,3.3333333333333335,1.7743021580745906,3.3333333333333335,1.7743021580745906
30,4,3,100.0,0.0,90.0,14.080127840328727,5.0,2.1360009363293835,5.0,2.1360009363293835
30,5,3,100.0,0.0,90.0,16.778955072749117,6.0,3.2688428125765427,4.0,1.9266551326067667
30,6,3,100.0,0.0,87.77777777777777,18.734060440175043,6.666666666666667,3.3774853674601473,5.555555555555555,2.6855044510070356
30,7,3,100.0,0.0,83.33333333333334,19.738368083587222,8.571428571428571,3.724736735826409,8.095238095238095,3.5485891017265967
30,8,3,100.0,0.0,82.5,21.24969362524238,9.583333333333334,4.419049082287575,7.916666666666666,3.302756897653838
30,9,3,100.0,0.0,66.2962962962963,19.272364170712102,18.51851851851852,6.680826298025307,15.185185185185185,5.552440827822624
30,10,3,100.0,0.0,74.66666666666667,22.27269379506863,13.666666666666666,5.667264674328249,11.666666666666666,4.804222679638774
30,2,4,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,4,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,4,100.0,0.0,95.0,14.733041098157571,2.5,2.01427199421197,2.5,2.01427199421197
30,5,4,100.0,0.0,92.0,16.999450971526493,3.3333333333333335,1.7701224063135674,4.666666666666667,2.876572033978406
30,6,4,100.0,0.0,90.0,19.07150288315586,6.666666666666667,3.8393672318157774,3.3333333333333335,1.7690759253434067
30,7,4,100.0,0.0,86.66666666666667,20.413192124173342,6.190476190476191,3.0476721934141606,7.142857142857142,3.5863633312360577
30,8,4,100.0,0.0,80.41666666666667,20.85657557682148,10.0,4.354116825871044,9.583333333333334,4.226266452201044
30,9,4,100.0,0.0,83.33333333333334,23.403334150986176,10.0,5.371391984565255,6.666666666666667,3.5346608267970816
30,10,4,100.0,0.0,75.66666666666667,22.64692522666647,15.666666666666668,6.855889601081849,8.666666666666668,3.5458269682669075
30,2,5,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,5,100.0,0.0,97.77777777777777,11.479091746523457,1.1111111111111112,1.0442868281386437,1.1111111111111112,1.0442868281386437
30,4,5,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0
30,5,5,100.0,0.0,92.0,16.960188678195767,4.666666666666667,2.634641025516253,3.3333333333333335,1.7701224063135679
30,6,5,100.0,0.0,89.44444444444444,18.90017364433481,6.666666666666667,3.5381518506868135,3.888888888888889,1.9004277188052414
30,7,5,100.0,0.0,85.23809523809524,20.161776869057316,8.095238095238095,3.680334980035612,6.666666666666667,3.106572653390494
30,8,5,100.0,0.0,90.0,23.05338008478005,6.25,4.620704649545709,3.75,2.2700208791257115
30,9,5,100.0,0.0,84.81481481481481,23.634005683778504,9.25925925925926,5.186434299867046,5.9259259259259265,3.115615003669383
30,10,5,100.0,0.0,84.33333333333334,24.655017519541303,8.666666666666668,4.309627465209597,7.000000000000001,3.2765327202191443
30,2,6,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,6,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,6,100.0,0.0,97.5,14.870797725744236,0.8333333333333334,0.9061901321221477,1.6666666666666667,1.8123802642442954
30,5,6,100.0,0.0,97.33333333333334,17.55387896354155,1.3333333333333335,1.1407599805977304,1.3333333333333335,1.1407599805977304
30,6,6,100.0,0.0,92.22222222222223,19.34104784356946,5.0,3.177612660822936,2.7777777777777777,1.6236738811805729
30,7,6,100.0,0.0,96.66666666666667,22.174273667888475,2.380952380952381,2.4668190008906543,0.9523809523809524,0.9672311612068697
