n	University	Economy	Overall	Teaching	Research	International Diversity	Financial Sustainability
460	National Taras Shevchenko University of Kyiv	Ukraine	35.009	56.395	14.743	27.935	26.044
152	National Tsing Hua University	Taiwan	69.361	75.375	63,9	32,68	86.076
410	National University of Ireland, Galway	Ireland	40.108	33.633	34.717	63.646	54.703
446	National University of Ireland, Maynooth	Ireland	36.686	27.986	32.847	63.908	51.349
466	National University of Malaysia	Malaysia	34.211	44,81	17.683	46.234	36.223
497	National University of Science and Technology MISiS (Moscow Institute of Steel and Alloys)	Russia	29.906	50.675	6.357	30.257	31.976
521	National University of Sciences and Technology	Pakistan	25.525	37.313	9.955	32.634	26.124
86	National University of Singapore	Singapore	76.948	60.856	80.493	96.278	87.785
279	National Yang-Ming University	Taiwan	54.396	69.347	41,51	17.382	69.177
565	NED University of Engineering and Technology	Pakistan	13.115	18.451	2.844	25.783	16,86
357	New Jersey's Science & Technology Institute	USA	46.222	41.199	41.392	49.155	73.133
53	New York University	USA	81.334	86,53	77,82	60.893	70.465
143	Newcastle University	UK	70.832	61.988	72.206	75,41	77.043
281	Niigata University	Japan	54.243	68.355	42,99	24.472	57.178
336	North Dakota State University	USA	47.743	46.864	45.408	30.753	66.401
422	Northwestern Polytechnical University	China	39.409	51.799	23.939	15.673	67.548
21	Northwestern University	USA	88.453	94.718	84.421	57.929	84.256
116	Norwegian University of Science and Technology	Norway	73.869	77.425	70.036	51.708	76.366
417	Novosibirsk State University	Russia	39.648	54.628	23.157	35.776	37.711
501	Oakland University	USA	28.635	21.876	30.157	26.208	46.283
454	Ocean University of China	China	35.563	41.621	27.152	27.811	43,5
47	Ohio State University	USA	81.643	76.356	86.918	61.578	78.279
270	Okayama University	Japan	55.622	59.702	54.593	19,12	65.192
420	Old Dominion University	USA	39.497	27.314	47,68	31.328	54.672
476	Open University	UK	32.527	15.685	42.622	50.518	32.755
208	Oregon State University	USA	63.101	64.325	60.761	42.954	70.728
218	Osaka City University	Japan	62.056	65,86	61.154	24.608	71.316
392	Osaka Prefecture University	Japan	42.789	46.079	40.804	15,85	53.632
50	Osaka University	Japan	81.445	88.608	77.277	43.194	84,81
563	Ostrogradskiy National University of Kremenchuk	Ukraine	13,51	22.019	2.145	29.747	3.421
405	Oxford Brookes University	UK	40.812	31,15	40.572	69.724	40.135
439	Panjab University	India	37.358	37.043	38.009	17.319	46.599
412	Paris Dauphine University - Paris 9	France	39.856	30.541	42.447	64.983	29,24
396	Paris Institute of Political Studies (Sciences Po)	France	41.536	58,2	21.272	54.835	28.876
59	Peking University	China	80.501	95.685	59,07	76.259	87.419
428	Peoples Friendship University of Russia	Russia	38,51	68.545	7,51	43.186	24.294
