n	University	Economy	Overall	Teaching	Research	International Diversity	Financial Sustainability
246	University of Victoria	Canada	58.262	24.713	80.621	76.359	70.816
307	University of Vienna	Austria	50.782	60.127	32.119	71.178	53.415
403	University of Vigo	Spain	40.995	55.773	28.842	19.885	39.405
39	University of Virginia	USA	83.348	85.828	84.003	50	79,96
388	University of Waikato	New Zealand	43.377	27.407	47.676	80.398	40.876
448	University of Warsaw	Poland	36.445	38.988	30.142	42.914	34.383
169	University of Warwick	UK	67.323	60.919	62.521	88.522	72.749
55	University of Washington	USA	80.808	81.519	78.046	61.438	86.083
227	University of Waterloo	Canada	61.069	40.995	70.394	76.742	73,09
132	University of Western Australia	Australia	72.315	56.682	77.987	86.645	78.529
470	University of Western Sydney	Australia	34.043	17.579	42.586	50.693	40.676
457	University of Westminster	UK	35.207	24.605	34.415	74,02	31,89
19	University of Wisconsin Madison	USA	89,02	85.349	94,17	59.114	87.633
271	University of Witwatersrand	South Africa	55.406	38.264	61.203	67.425	76.104
322	University of Wollongong	Australia	49,07	27.587	57.597	79.267	58.554
383	University of Wyoming	USA	43.876	37.447	44.597	29.053	72,9
180	University of Würzburg	Germany	66.127	67.312	65.483	51.666	58.689
103	University of York	UK	74.964	68.113	75.217	81.649	73.384
449	University of Zagreb	Croatia	36.257	50.002	27.566	11.642	29.091
14	University of Zurich	Switzerland	91.201	89.891	92.158	89.409	65.311
375	Université de Paris-Nord - Paris 13	France	44,23	31.003	49.258	63.207	46.085
215	Université Libre de Bruxelles	Belgium	62.504	50.137	64.333	80.552	70.186
70	Uppsala University	Sweden	78.423	62.884	91.803	63.522	80.294
42	Utrecht University	Netherlands	82.897	73.951	91.728	69.477	72.097
500	V.N. Karazin Kharkiv National University	Ukraine	28.675	37.333	13.532	43.656	31.729
37	Vanderbilt University	USA	83.412	87.707	82.892	44.688	83.198
250	Vienna University of Technology	Austria	58.019	75.029	34.946	75,02	47,08
499	Villanova University	USA	29.328	30.506	20.467	23.878	61.208
485	Vilnius University	Lithuania	31,8	33,15	28.373	21.536	42.664
238	Virginia Polytechnic Institute and State University	USA	59.643	49.051	64.601	45.498	82.544
72	VU University Amsterdam	Netherlands	78,12	60.209	94.277	56.651	85.804
421	Warsaw University of Technology	Poland	39.453	53.501	28.349	20.087	34.912
431	Waseda University	Japan	38.092	36.165	34.711	43.377	44.048
195	Washington State University	USA	64.777	53.524	71.987	47.566	82.251
186	Wayne State University	USA	65.584	73.398	58,91	40.201	67.884
135	Western University	Canada	72.118	63.686	75.581	65.613	79.118
508	Wuhan University of Technology	China	27.595	35.223	22.749	6.993	29.241
10	Yale University	USA	93.624	94.724	91.619	76.779	86.589
413	Yamaguchi University	Japan	39.839	46.108	32.086	18.768	57.607
115	Yeshiva University	USA	73,89	82,78	74.836	34.608	49.503
426	Yokohama City University	Japan	38.811	51.807	27.234	17.258	43.992
378	Yokohama National University	Japan	44.134	45.694	44.107	32.592	35.928
257	Yonsei University	Republic of Korea	57.054	56.818	49.919	48.751	81.812
430	York University	Canada	38,12	19.612	44.215	59.836	58.272
155	Zhejiang University	China	68.973	82.051	57.264	40,05	73.023
